Title,Location,Price,Area,Nu of Rooms
                        Apartment Cornelis Schuytstraat 8 1                            ,            1071 JH Amsterdam (Museumkwartier)        ,"                €2,800 per month            ",65 m²,2 rooms
                        Apartment Wijdesteeg                            ,            1012 RN Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,175 per month            ",65 m²,2 rooms
                        House Tijgerhof 14                            ,            4817 EP Breda (Brabantpark)        ,"                €1,450 per month            ",110 m²,5 rooms
                        Apartment Van Bosseplantsoen                            ,            3317 PK Dordrecht (Crabbehof-Noord)        ,                €975 per month            ,80 m²,4 rooms
                        House de Melkpotte 3                            ,            2631 PV Nootdorp (Vrouwtjeslant/Nieuweveen)        ,"                €2,750 per month            ",184 m²,4 rooms
                        Apartment Bezuidenhoutseweg 233 B                            ,            2594 AM Den Haag (Bezuidenhout-Oost)        ,"                €1,500 per month            ",77 m²,2 rooms
                        Apartment Rivierenlaan                            ,            1442 PG Purmerend (Overwhere-Zuid)        ,"                €1,700 per month            ",73 m²,3 rooms
                        Apartment Maijweg                            ,            5211 AB Den Bosch (Het Zand)        ,"                €1,350 per month            ",55 m²,2 rooms
                        House Abtstraat                            ,            6211 LS Maastricht (Jekerkwartier)        ,"                €1,195 per month            ",60 m²,3 rooms
                        Apartment Rederserf 242                            ,            2586 KH Den Haag (Scheveningen Badplaats)        ,"                €1,350 per month            ",53 m²,2 rooms
                        Studio Veldhovenring 16 13                            ,            5041 BC Tilburg (Theresia Oost)        ,                €586 per month            ,25 m²,1 room
                        Studio Veldhovenring 16 03                            ,            5041 BC Tilburg (Theresia Oost)        ,                €825 per month            ,32 m²,1 room
                        Studio Veldhovenring 44 02                            ,            5041 BC Tilburg (Theresia Midden)        ,                €560 per month            ,25 m²,1 room
                        Apartment Jan Luykenlaan 322                            ,            2332 DH Leiden (Lage Mors)        ,"                €1,695 per month            ",84 m²,3 rooms
                        Apartment Donkere Gaard                            ,            3421 AT Oudewater (Kern Oudewater)        ,"                €1,136 per month            ",80 m²,4 rooms
                        Apartment Elzendaal                            ,            3075 LS Rotterdam (Vreewijk)        ,"                €1,350 per month            ",35 m²,2 rooms
                        House Stuwweg                            ,            6219 NB Maastricht (Boschpoort)        ,"                €3,250 per month            ",180 m²,5 rooms
                        Apartment Graaf Wichmanlaan 13 A7                            ,            1405 GW Bussum (Schimmellaan)        ,"                €1,075 per month            ",46 m²,2 rooms
                        House Rivierensingel 479                            ,            5704 KR Helmond (Brouwhuis-Dorp)        ,"                €1,250 per month            ",95 m²,4 rooms
                        House Het Binnenhof 3                            ,            1382 BJ Weesp (Herensingelkwartier)        ,"                €1,750 per month            ",78 m²,3 rooms
                        Apartment Noordeinde 94 C                            ,            2514 GM Den Haag (Voorhout)        ,"                €1,450 per month            ",68 m²,3 rooms
                        Apartment Rossinilaan                            ,            1217 CB Hilversum (Villaparken)        ,"                €1,650 per month            ",90 m²,3 rooms
                        Apartment Hogewal                            ,            2514 HA Den Haag (Kortenbos)        ,"                €2,750 per month            ",158 m²,6 rooms
                        Apartment Oude Loosdrechtseweg                            ,            1215 HL Hilversum (Staatsliedenkwartier)        ,"                €1,550 per month            ",124 m²,4 rooms
                        Apartment Stadhouderskade                            ,            1073 AW Amsterdam (Oude Pijp)        ,"                €2,300 per month            ",79 m²,2 rooms
                        Apartment Papsouwselaan 87                            ,            2624 AJ Delft (Bedrijventerrein Voorhof)        ,"                €1,250 per month            ",70 m²,3 rooms
                        Room Schaarsbergenstraat 126                            ,            2573 BZ Den Haag (Oostbroek-Zuid)        ,                €795 per month            ,13 m²,1 room
                        Apartment Westwal                            ,            5211 DC Den Bosch (Binnenstad-Centrum)        ,"                €1,195 per month            ",70 m²,3 rooms
                        Apartment Hoogoord                            ,"            1102 CC Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,750 per month            ",95 m²,4 rooms
                        Apartment Brouwersgracht                            ,            1013 HG Amsterdam (Haarlemmerbuurt)        ,"                €2,350 per month            ",80 m²,3 rooms
                        House Hoge Hil                            ,            4822 AD Breda (Heksenwiel)        ,"                €1,550 per month            ",125 m²,5 rooms
                        Apartment Walenburgerweg                            ,            3033 AG Rotterdam (Provenierswijk)        ,"                €1,360 per month            ",77 m²,3 rooms
